,report_name,company_id,company_name,period_year,season,acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,creation_date,seq
220,BalanceSheet,1104,環泥,112,1,特別盈餘公積,3185793.0,11.32,3185793.0,11.45,2024-04-10 14:18:04,55
221,BalanceSheet,1104,環泥,112,1,未分配盈餘（或待彌補虧損）,7644970.0,27.17,7372038.0,26.51,2024-04-10 14:18:04,56
222,BalanceSheet,1104,環泥,112,1,保留盈餘合計,13546646.0,48.15,13273714.0,47.73,2024-04-10 14:18:04,57
223,BalanceSheet,1104,環泥,112,1,其他權益,0.0,0.0,0.0,0.0,2024-04-10 14:18:04,58
224,BalanceSheet,1104,環泥,112,1,其他權益合計,1253311.0,4.45,984599.0,3.54,2024-04-10 14:18:04,59
225,BalanceSheet,1104,環泥,112,1,歸屬於母公司業主之權益合計,21459548.0,76.27,20917904.0,75.21,2024-04-10 14:18:04,60
226,BalanceSheet,1104,環泥,112,1,非控制權益,615992.0,2.19,608574.0,2.19,2024-04-10 14:18:04,61
227,BalanceSheet,1104,環泥,112,1,權益總額,22075540.0,78.46,21526478.0,77.4,2024-04-10 14:18:04,62
228,BalanceSheet,1104,環泥,112,1,負債及權益總計,28134858.0,100.0,27811895.0,100.0,2024-04-10 14:18:05,63
229,BalanceSheet,1104,環泥,112,1,預收股款（權益項下）之約當發行股數（單位：股）,0.0,0.0,0.0,0.0,2024-04-10 14:18:05,64
230,BalanceSheet,1104,環泥,112,1,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,0.0,0.0,0.0,2024-04-10 14:18:05,65
231,ProfitAndLose,1104,環泥,112,1,營業收入合計,1835530.0,100.0,1532253.0,100.0,2024-04-10 14:18:08,1
232,ProfitAndLose,1104,環泥,112,1,營業成本合計,1490975.0,81.23,1240069.0,80.93,2024-04-10 14:18:08,2
233,ProfitAndLose,1104,環泥,112,1,營業毛利（毛損）,344555.0,18.77,292184.0,19.07,2024-04-10 14:18:08,3
234,ProfitAndLose,1104,環泥,112,1,營業毛利（毛損）淨額,344555.0,18.77,292184.0,19.07,2024-04-10 14:18:08,4
235,ProfitAndLose,1104,環泥,112,1,營業費用,0.0,0.0,0.0,0.0,2024-04-10 14:18:08,5
236,ProfitAndLose,1104,環泥,112,1,推銷費用,39031.0,2.13,29161.0,1.9,2024-04-10 14:18:08,6
237,ProfitAndLose,1104,環泥,112,1,管理費用,79400.0,4.33,69075.0,4.51,2024-04-10 14:18:08,7
238,ProfitAndLose,1104,環泥,112,1,研究發展費用,22522.0,1.23,21324.0,1.39,2024-04-10 14:18:08,8
239,ProfitAndLose,1104,環泥,112,1,預期信用減損損失（利益）,9818.0,0.53,961.0,0.06,2024-04-10 14:18:08,9
240,ProfitAndLose,1104,環泥,112,1,營業費用合計,150771.0,8.21,120521.0,7.87,2024-04-10 14:18:09,10
241,ProfitAndLose,1104,環泥,112,1,營業利益（損失）,193784.0,10.56,171663.0,11.2,2024-04-10 14:18:09,11
242,ProfitAndLose,1104,環泥,112,1,營業外收入及支出,0.0,0.0,0.0,0.0,2024-04-10 14:18:09,12
244,ProfitAndLose,1104,環泥,112,1,其他收入,19169.0,1.04,8783.0,0.57,2024-04-10 14:18:09,14
245,ProfitAndLose,1104,環泥,112,1,其他利益及損失淨額,34519.0,1.88,371222.0,24.23,2024-04-10 14:18:09,15
246,ProfitAndLose,1104,環泥,112,1,財務成本淨額,15809.0,0.86,7646.0,0.5,2024-04-10 14:18:09,16
247,ProfitAndLose,1104,環泥,112,1,採用權益法認列之關聯企業及合資損益之份額淨額,82773.0,4.51,184540.0,12.04,2024-04-10 14:18:09,17
248,ProfitAndLose,1104,環泥,112,1,營業外收入及支出合計,121703.0,6.63,557093.0,36.36,2024-04-10 14:18:09,18
249,ProfitAndLose,1104,環泥,112,1,稅前淨利（淨損）,315487.0,17.19,728756.0,47.56,2024-04-10 14:18:09,19
250,ProfitAndLose,1104,環泥,112,1,所得稅費用（利益）合計,35133.0,1.91,33245.0,2.17,2024-04-10 14:18:09,20
251,ProfitAndLose,1104,環泥,112,1,繼續營業單位本期淨利（淨損）,280354.0,15.27,695511.0,45.39,2024-04-10 14:18:09,21
252,ProfitAndLose,1104,環泥,112,1,本期淨利（淨損）,280354.0,15.27,695511.0,45.39,2024-04-10 14:18:09,22
253,ProfitAndLose,1104,環泥,112,1,其他綜合損益(淨額),0.0,0.0,0.0,0.0,2024-04-10 14:18:09,23
254,ProfitAndLose,1104,環泥,112,1,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,252993.0,13.78,178720.0,11.66,2024-04-10 14:18:10,24
255,ProfitAndLose,1104,環泥,112,1,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,2082.0,0.11,-34.0,0.0,2024-04-10 14:18:10,25
256,ProfitAndLose,1104,環泥,112,1,不重分類至損益之項目：,255075.0,13.9,178686.0,11.66,2024-04-10 14:18:10,26
257,ProfitAndLose,1104,環泥,112,1,採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,13633.0,0.74,314669.0,20.54,2024-04-10 14:18:10,27
258,ProfitAndLose,1104,環泥,112,1,後續可能重分類至損益之項目：,13633.0,0.74,314669.0,20.54,2024-04-10 14:18:10,28
259,ProfitAndLose,1104,環泥,112,1,其他綜合損益（淨額）,268708.0,14.64,493355.0,32.2,2024-04-10 14:18:10,29
260,ProfitAndLose,1104,環泥,112,1,本期綜合損益總額,549062.0,29.91,1188866.0,77.59,2024-04-10 14:18:10,30
261,ProfitAndLose,1104,環泥,112,1,淨利（損）歸屬於：,0.0,0.0,0.0,0.0,2024-04-10 14:18:10,31
262,ProfitAndLose,1104,環泥,112,1,母公司業主（淨利∕損）,272932.0,14.87,691941.0,45.16,2024-04-10 14:18:10,32
263,ProfitAndLose,1104,環泥,112,1,非控制權益（淨利∕損）,7422.0,0.4,3570.0,0.23,2024-04-10 14:18:10,33
264,ProfitAndLose,1104,環泥,112,1,母公司業主（綜合損益）,541644.0,29.51,1185197.0,77.35,2024-04-10 14:18:10,34
265,ProfitAndLose,1104,環泥,112,1,非控制權益（綜合損益）,7418.0,0.4,3669.0,0.24,2024-04-10 14:18:10,35
272,CashFlowStatement,1104,環泥,112,1,營業活動之現金流量－間接法,0.0,0.0,0.0,0.0,2024-04-10 14:18:13,1
273,CashFlowStatement,1104,環泥,112,1,繼續營業單位稅前淨利（淨損）,315487.0,0.0,728756.0,0.0,2024-04-10 14:18:13,2
274,CashFlowStatement,1104,環泥,112,1,本期稅前淨利（淨損）,315487.0,0.0,728756.0,0.0,2024-04-10 14:18:13,3
275,CashFlowStatement,1104,環泥,112,1,折舊費用,44550.0,0.0,44290.0,0.0,2024-04-10 14:18:13,4
276,CashFlowStatement,1104,環泥,112,1,攤銷費用,890.0,0.0,538.0,0.0,2024-04-10 14:18:13,5
277,CashFlowStatement,1104,環泥,112,1,預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,9818.0,0.0,961.0,0.0,2024-04-10 14:18:13,6
